year,Especialidad/SubEspecialidad
2013,MEDICINA DE ENFERMEDADES INFECCIOSA
2013,GASTROENTEROLOGIA
2013,NEUROCIRUGIA
2013,OFTALMOLOGIA
2013,ANESTESIOLOGIA
2013,OFTALMOLOGIA
2013,OFTALMOLOGIA
2013,CIRUGIA GENERAL
2013,GASTROENTEROLOGIA
2013,PEDIATRIA
2013,PSIQUIATRIA
2013,PEDIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,RADIOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,INMUNOLOGIA Y ALERGIA
2013,RADIOLOGIA
2013,CARDIOLOGIA
2013,CIRUGIA GENERAL
2013,INMUNOLOGIA Y ALERGIA
2013,MEDICINA INTENSIVA PEDIATRICA
2013,CIRUGIA GENERAL
2013,CIRUGIA GENERAL
2013,GINECOLOGIA Y OBSTETRICIA
2013,NEUMOLOGIA
2013,MEDICINA INTENSIVA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,GASTROENTEROLOGIA
2013,GERIATRIA
2013,PEDIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,ANESTESIOLOGIA
2013,UROLOGIA
2013,ANESTESIOLOGIA CARDIOVASCULAR
2013,GINECOLOGIA Y OBSTETRICIA
2013,UROLOGIA
2013,CIRUGIA GENERAL
2013,RADIOLOGIA
2013,GASTROENTEROLOGIA
2013,GERIATRIA
2013,PEDIATRIA
2013,OTORRINOLARINGOLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,CIRUGIA DE CABEZA Y CUELLO
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,PSIQUIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES
2013,PSIQUIATRIA
2013,REUMATOLOGIA
2013,DERMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA GENERAL
2013,CARDIOLOGIA
2013,UROLOGIA
2013,NEUROCIRUGIA
2013,CIRUGIA GENERAL
2013,MEDICINA ONCOLOGICA
2013,GINECOLOGIA Y OBSTETRICIA
2013,NEUMOLOGIA
2013,PSIQUIATRIA
2013,ENDOCRINOLOGIA
2013,PSIQUIATRIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,DERMATOLOGIA
2013,MEDICINA INTERNA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,RADIOLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA DE ENFERMEDADES INFECCIOSA
2013,GASTROENTEROLOGIA
2013,PSIQUIATRIA
2013,ANATOMIA PATOLOGICA
2013,MEDICINA ONCOLOGICA
2013,CIRUGIA PEDIATRICA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,CIRUGIA GENERAL
2013,NEUROCIRUGIA
2013,MEDICINA DE REHABILITACION
2013,PEDIATRIA
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,ENDOCRINOLOGIA
2013,NEFROLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,PSIQUIATRIA
2013,MEDICINA DE REHABILITACION
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA TORACICA Y CARDIOVASCULAR
2013,CIRUGIA GENERAL
2013,DERMATOLOGIA
2013,GASTROENTEROLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,OFTALMOLOGIA
2013,RADIOLOGIA
2013,ENDOCRINOLOGIA
2013,NEUROLOGIA PEDIATRICA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,GASTROENTEROLOGIA
2013,UROLOGIA
2013,ANESTESIOLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,ENDOCRINOLOGIA
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,PEDIATRIA
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,MEDICINA DE REHABILITACION
2013,PSIQUIATRIA
2013,MEDICINA INTERNA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA ONCOLOGICA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA INTERNA
2013,CIRUGIA GENERAL
2013,GASTROENTEROLOGIA
2013,GASTROENTEROLOGIA
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA INTERNA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PSIQUIATRIA
2013,GASTROENTEROLOGIA
2013,GASTROENTEROLOGIA
2013,OTORRINOLARINGOLOGIA
2013,MEDICINA DE REHABILITACION
2013,DERMATOLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,MEDICINA INTERNA
2013,CARDIOLOGIA
2013,CIRUGIA GENERAL
2013,NEONATOLOGIA
2013,CARDIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,OTORRINOLARINGOLOGIA
2013,CIRUGIA ONCOLOGICA
2013,NEFROLOGIA
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,PEDIATRIA
2013,DERMATOLOGIA
2013,CIRUGIA GENERAL
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,RADIOLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,MEDICINA ONCOLOGICA
2013,NEUMOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,CIRUGIA GENERAL
2013,DERMATOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,PEDIATRIA
2013,CIRUGIA GENERAL
2013,NEUROCIRUGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,GINECOLOGIA ONCOLOGICA
2013,NEFROLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,GASTROENTEROLOGIA
2013,DERMATOLOGIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,DERMATOLOGIA
2013,DERMATOLOGIA
2013,ANESTESIOLOGIA
2013,ANESTESIOLOGIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,PSIQUIATRIA
2013,NEUMOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,NEUROCIRUGIA
2013,CIRUGIA GENERAL
2013,OTORRINOLARINGOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA PEDIATRICA
2013,ANESTESIOLOGIA
2013,PEDIATRIA
2013,MEDICINA DE REHABILITACION
2013,CIRUGIA PLASTICA
2013,RADIOLOGIA
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,PEDIATRIA
2013,CIRUGIA PLASTICA
2013,GERIATRIA
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,OFTALMOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,PSIQUIATRIA
2013,NEUROCIRUGIA
2013,MEDICINA INTERNA
2013,OFTALMOLOGIA
2013,PEDIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA ONCOLOGICA ABDOMINAL
2013,MEDICINA DE REHABILITACION
2013,GINECOLOGIA Y OBSTETRICIA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,MEDICINA DE REHABILITACION
2013,CIRUGIA GENERAL
2013,MEDICINA DE REHABILITACION
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,DERMATOLOGIA
2013,MEDICINA INTERNA
2013,MEDICINA DE REHABILITACION
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,CARDIOLOGIA
2013,CARDIOLOGIA
2013,CARDIOLOGIA
2013,ANESTESIOLOGIA
2013,PSIQUIATRIA
2013,ANESTESIOLOGIA
2013,CIRUGIA GENERAL
2013,PSIQUIATRIA
2013,CARDIOLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA ONCOLOGICA
2013,ENDOCRINOLOGIA
2013,NEUROCIRUGIA
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,PEDIATRIA
2013,UROLOGIA
2013,OTORRINOLARINGOLOGIA
2013,REUMATOLOGIA
2013,PSIQUIATRIA
2013,GERIATRIA
2013,NEUROCIRUGIA
2013,MEDICINA DE REHABILITACION
2013,GINECOLOGIA Y OBSTETRICIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PSIQUIATRIA
2013,NEUROLOGIA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,PEDIATRIA
2013,CIRUGIA GENERAL
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,DERMATOLOGIA
2013,PEDIATRIA
2013,MEDICINA INTERNA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA GENERAL
2013,RADIOLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,UROLOGIA
2013,DERMATOLOGIA
2013,ONCOLOGIA PEDIATRICA
2013,MEDICINA INTENSIVA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,ANESTESIOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA
2013,DERMATOLOGIA
2013,GASTROENTEROLOGIA
2013,OFTALMOLOGIA
2013,PEDIATRIA
2013,OTORRINOLARINGOLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA ONCOLOGICA
2013,NEFROLOGIA
2013,MEDICINA INTERNA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,GINECOLOGIA Y OBSTETRICIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,NEONATOLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,RADIOLOGIA
2013,MEDICINA DE REHABILITACION
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,OFTALMOLOGIA
2013,ANESTESIOLOGIA
2013,MEDICINA INTERNA
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,OTORRINOLARINGOLOGIA
2013,CIRUGIA PLASTICA
2013,PATOLOGIA CLINICA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CARDIOLOGIA
2013,MEDICINA INTERNA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,PATOLOGIA CLINICA
2013,ENDOCRINOLOGIA
2013,ONCOLOGIA PEDIATRICA
2013,GERIATRIA
2013,ANESTESIOLOGIA
2013,CIRUGIA GENERAL
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,CIRUGIA DE CABEZA Y CUELLO
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,MEDICINA INTERNA
2013,CARDIOLOGIA
2013,RADIOLOGIA
2013,CIRUGIA GENERAL
2013,NEUROLOGIA
2013,CIRUGIA TORACICA Y CARDIOVASCULAR
2013,GINECOLOGIA Y OBSTETRICIA
2013,REUMATOLOGIA
2013,CIRUGIA GENERAL
2013,ANESTESIOLOGIA
2013,CIRUGIA PEDIATRICA
2013,MEDICINA DE REHABILITACION
2013,NEUROCIRUGIA
2013,CIRUGIA TORACICA Y CARDIOVASCULAR
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,GERIATRIA
2013,GASTROENTEROLOGIA
2013,PSIQUIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,OTORRINOLARINGOLOGIA
2013,ANESTESIOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,HEMATOLOGIA CLINICA
2013,MEDICINA ONCOLOGICA
2013,DERMATOLOGIA
2013,ENDOCRINOLOGIA
2013,PEDIATRIA
2013,MEDICINA DE REHABILITACION
2013,GINECOLOGIA Y OBSTETRICIA
2013,NEUROLOGIA
2013,NEUROLOGIA
2013,RADIOLOGIA
2013,NEUROLOGIA
2013,DERMATOLOGIA
2013,GASTROENTEROLOGIA
2013,UROLOGIA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,MEDICINA DE REHABILITACION
2013,OTORRINOLARINGOLOGIA
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PSIQUIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,REUMATOLOGIA
2013,ANESTESIOLOGIA
2013,PSIQUIATRIA
2013,CIRUGIA GENERAL
2013,ENDOCRINOLOGIA
2013,OFTALMOLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,OTORRINOLARINGOLOGIA
2013,CIRUGIA ONCOLOGICA
2013,CARDIOLOGIA PEDIATRICA
2013,NEONATOLOGIA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,OFTALMOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,RADIOLOGIA
2013,GASTROENTEROLOGIA
2013,MEDICINA DE REHABILITACION
2013,MEDICINA INTENSIVA PEDIATRICA
2013,GASTROENTEROLOGIA
2013,MEDICINA ONCOLOGICA
2013,CIRUGIA GENERAL
2013,ENDOCRINOLOGIA
2013,ANESTESIOLOGIA
2013,CIRUGIA GENERAL
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,MEDICINA INTERNA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,DERMATOLOGIA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,NEUMOLOGIA
2013,CIRUGIA ONCOLOGICA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,PEDIATRIA
2013,RADIOLOGIA
2013,CARDIOLOGIA
2013,PATOLOGIA CLINICA
2013,GASTROENTEROLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA TORACICA Y CARDIOVASCULAR
2013,NEUROLOGIA
2013,MEDICINA DE REHABILITACION
2013,CIRUGIA GENERAL
2013,HEMATOLOGIA CLINICA
2013,MEDICINA ONCOLOGICA
2013,PEDIATRIA
2013,PEDIATRIA
2013,GERIATRIA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,MEDICINA DE REHABILITACION
2013,OFTALMOLOGIA
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,DERMATOLOGIA
2013,MEDICINA INTERNA
2013,RADIOLOGIA
2013,MEDICINA INTERNA
2013,OFTALMOLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,ANESTESIOLOGIA
2013,CIRUGIA GENERAL
2013,UROLOGIA
2013,NEFROLOGIA
2013,RADIOLOGIA
2013,GASTROENTEROLOGIA
2013,OFTALMOLOGIA
2013,ENDOCRINOLOGIA
2013,CIRUGIA DE MANO
2013,OFTALMOLOGIA
2013,UROLOGIA
2013,NEUROLOGIA
2013,NEUMOLOGIA
2013,OFTALMOLOGIA
2013,MEDICINA ONCOLOGICA
2013,MEDICINA ONCOLOGICA
2013,ENDOCRINOLOGIA
2013,PATOLOGIA CLINICA
2013,OTORRINOLARINGOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,GASTROENTEROLOGIA
2013,ENDOCRINOLOGIA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES
2013,ENDOCRINOLOGIA PEDIATRICA
2013,OFTALMOLOGIA
2013,PEDIATRIA
2013,MEDICINA DE REHABILITACION
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,UROLOGIA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA GENERAL
2013,OTORRINOLARINGOLOGIA
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,PSIQUIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,DERMATOLOGIA
2013,MEDICINA INTERNA
2013,PEDIATRIA
2013,CARDIOLOGIA
2013,CIRUGIA PEDIATRICA
2013,ENDOCRINOLOGIA PEDIATRICA
2013,RADIOLOGIA
2013,CIRUGIA DE CABEZA Y CUELLO
2013,PSIQUIATRIA
2013,GERIATRIA
2013,PSIQUIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,NEUMOLOGIA
2013,UROLOGIA
2013,CIRUGIA DE CABEZA Y CUELLO
2013,MEDICINA INTENSIVA
2013,OFTALMOLOGIA
2013,MEDICINA INTERNA
2013,GINECOLOGIA Y OBSTETRICIA
2013,DERMATOLOGIA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA
2013,CIRUGIA PLASTICA
2013,RADIOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,GASTROENTEROLOGIA
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,CIRUGIA PLASTICA
2013,ENDOCRINOLOGIA
2013,MEDICINA INTERNA
2013,PSIQUIATRIA
2013,OTORRINOLARINGOLOGIA
2013,GASTROENTEROLOGIA
2013,NEFROLOGIA
2013,CIRUGIA PLASTICA
2013,GASTROENTEROLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,ANESTESIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CARDIOLOGIA
2013,GASTROENTEROLOGIA
2013,UROLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,GASTROENTEROLOGIA
2013,OFTALMOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,ENDOCRINOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,CIRUGIA PEDIATRICA
2013,PEDIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,MEDICINA INTENSIVA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,RADIOLOGIA
2013,MEDICINA DE REHABILITACION
2013,NEUROCIRUGIA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,CIRUGIA PLASTICA
2013,NEUROCIRUGIA
2013,CIRUGIA GENERAL
2013,GASTROENTEROLOGIA
2013,ANESTESIOLOGIA
2013,ENDOCRINOLOGIA
2013,GASTROENTEROLOGIA
2013,PEDIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA ONCOLOGICA
2013,NEUROLOGIA
2013,RADIOLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,CIRUGIA GENERAL
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,MEDICINA INTENSIVA
2013,RADIOLOGIA
2013,PEDIATRIA
2013,CIRUGIA GENERAL
2013,NEUROLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,MEDICINA DE REHABILITACION
2013,DERMATOLOGIA
2013,PSIQUIATRIA
2013,GASTROENTEROLOGIA
2013,OFTALMOLOGIA
2013,ANATOMIA PATOLOGICA
2013,NEFROLOGIA
2013,MEDICINA DE REHABILITACION
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,OFTALMOLOGIA
2013,CIRUGIA DE CABEZA Y CUELLO
2013,DERMATOLOGIA
2013,CIRUGIA GENERAL
2013,CIRUGIA DE CABEZA Y CUELLO
2013,GERIATRIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,UROLOGIA
2013,RADIOLOGIA
2013,ANESTESIOLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA INTENSIVA
2013,NEUROLOGIA
2013,PEDIATRIA
2013,ENDOCRINOLOGIA
2013,ANESTESIOLOGIA
2013,ANESTESIOLOGIA
2013,MEDICINA INTERNA
2013,RADIOLOGIA
2013,DERMATOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,CIRUGIA TORACICA Y CARDIOVASCULAR
2013,GASTROENTEROLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,CARDIOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,RADIOLOGIA
2013,NEUROCIRUGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA ONCOLOGICA
2013,PEDIATRIA
2013,OFTALMOLOGIA
2013,PEDIATRIA
2013,DERMATOLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,CIRUGIA GENERAL
2013,CARDIOLOGIA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES
2013,PSIQUIATRIA
2013,MEDICINA INTENSIVA
2013,REUMATOLOGIA
2013,GASTROENTEROLOGIA
2013,DERMATOLOGIA
2013,CARDIOLOGIA
2013,CARDIOLOGIA
2013,DERMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA
2013,DERMATOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA ONCOLOGICA
2013,PSIQUIATRIA
2013,CIRUGIA GENERAL
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,ANESTESIOLOGIA
2013,CIRUGIA ONCOLOGICA
2013,CIRUGIA PEDIATRICA
2013,OFTALMOLOGIA
2013,OFTALMOLOGIA
2013,CIRUGIA GENERAL
2013,GINECOLOGIA Y OBSTETRICIA
2013,OTORRINOLARINGOLOGIA
2013,OFTALMOLOGIA
2013,NEUROLOGIA
2013,CIRUGIA GENERAL
2013,NEUROLOGIA
2013,OFTALMOLOGIA
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,CIRUGIA GENERAL
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA GENERAL
2013,GASTROENTEROLOGIA
2013,GERIATRIA
2013,CARDIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,PEDIATRIA
2013,OFTALMOLOGIA
2013,CIRUGIA PEDIATRICA
2013,PEDIATRIA
2013,ANESTESIOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,RADIOLOGIA
2013,REUMATOLOGIA
2013,PEDIATRIA
2013,RADIOLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA INTERNA
2013,GASTROENTEROLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,GERIATRIA
2013,PEDIATRIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,CIRUGIA ONCOLOGICA
2013,RADIOLOGIA
2013,NEUROCIRUGIA
2013,MEDICINA ONCOLOGICA
2013,DERMATOLOGIA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA
2013,GINECOLOGIA Y OBSTETRICIA
2013,GASTROENTEROLOGIA
2013,CIRUGIA GENERAL
2013,MEDICINA DE REHABILITACION
2013,OFTALMOLOGIA
2013,OFTALMOLOGIA
2013,OFTALMOLOGIA
2013,OFTALMOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,CIRUGIA GENERAL
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,PATOLOGIA CLINICA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,MEDICINA OCUPACIONAL Y DEL MEDIO AMBI
2013,CIRUGIA ONCOLOGICA
2013,MEDICINA ONCOLOGICA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,GASTROENTEROLOGIA
2013,GASTROENTEROLOGIA
2013,ENDOCRINOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,RADIOLOGIA
2013,UROLOGIA
2013,PEDIATRIA
2013,PEDIATRIA
2013,CIRUGIA GENERAL
2013,NEUROLOGIA
2013,OFTALMOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,GASTROENTEROLOGIA
2013,ANESTESIOLOGIA
2013,REUMATOLOGIA
2013,RADIOLOGIA
2013,DERMATOLOGIA
2013,PEDIATRIA
2013,GERIATRIA
2013,MEDICINA INTERNA
2013,ANESTESIOLOGIA
2013,PEDIATRIA
2013,GASTROENTEROLOGIA
2013,MEDICINA ONCOLOGICA
2013,PEDIATRIA
2013,UROLOGIA
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,RADIOLOGIA
2013,ANESTESIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA GENERAL
2013,GINECOLOGIA Y OBSTETRICIA
2013,CIRUGIA GENERAL
2013,ENDOCRINOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,ADMINISTRACION  Y GESTION EN SALUD
2013,CIRUGIA PLASTICA
2013,NEUROLOGIA
2013,PEDIATRIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,MEDICINA FAMILIAR Y COMUNITARIA
2013,CIRUGIA PEDIATRICA
2013,PEDIATRIA
2013,INMUNOLOGIA Y ALERGIA
2013,RADIOTERAPIA
2013,MEDICINA INTENSIVA
2013,RADIOLOGIA
2013,GINECOLOGIA Y OBSTETRICIA
2013,ANESTESIOLOGIA
2013,PSIQUIATRIA
2013,PSIQUIATRIA
2013,OFTALMOLOGIA
2013,ORTOPEDIA Y TRAUMATOLOGIA
2013,MEDICINA DE REHABILITACION
2013,ANESTESIOLOGIA
2013,REUMATOLOGIA
2013,ANESTESIOLOGIA
2013,GASTROENTEROLOGIA
2013,RADIOLOGIA
2013,PEDIATRIA
2013,ANATOMIA PATOLOGICA
2013,OTORRINOLARINGOLOGIA
2013,OFTALMOLOGIA
2013,MEDICINA ONCOLOGICA
2013,MEDICINA DE REHABILITACION
2013,GASTROENTEROLOGIA
2013,PEDIATRIA
2013,UROLOGIA
2013,DERMATOLOGIA
2013,PEDIATRIA
2013,DERMATOLOGIA
2013,OTORRINOLARINGOLOGIA
2013,MEDICINA ONCOLOGICA
